corpus_id,entry_no,definition,entry_type,failed_slot,corpus_form,generated_forms,h_root,h_alt_tag,aspect_class,prefix_class,tense_present_class,set_a,plural,animate_objects,present,present_1sg,imperfective,perfective,imperative,infinitive
99,103,he/she is getting off,StativeNoImp,perfective,utloyhsv'i,atloyhskv'i; katloyhskv'i,atloys,[H_alt=none],stative-k,a_stem,a_present,True,False,False,atloyhska,katloyhska,atloyhsko'i,utloyhsv'i,hatlohi,utlohihsti
100,104,he/she is bragging,Eventful,imperative,hatlvkwha,hatlvkwa,atlvkw,[H_alt=vowel_a],sk-s-a,a_stem,a_present,True,False,False,atlvkwhska,katlvkwahska,atlvkwhsko'i,utlvkwhsv'i,hatlvkwha,utlvkwhihsti
100,104,he/she is bragging,Eventful,imperative,hatlvkwha,hatlvkwhi,atlvkw,[H_alt=vowel_a],sk-s-hi-hihst,a_stem,a_present,True,False,False,atlvkwhska,katlvkwahska,atlvkwhsko'i,utlvkwhsv'i,hatlvkwha,utlvkwhihsti
106,110,he/she is doing it,StativeNoImp,perfective,utvnelv'i,atvnehv'i; katvnehv'i,atvn,[H_alt=none],stative-eh,a_stem,a_present,True,False,False,atvneha,katvneha,atvneho'i,utvnelv'i,hatvka,utvnhti
106,110,he/she is doing it,StativeNoImp,perfective,utvnelv'i,atvnehv'i; katvnehv'i,atvne,[H_alt=none],stative-h,a_stem,a_present,True,False,False,atvneha,katvneha,atvneho'i,utvnelv'i,hatvka,utvnhti
106,110,he/she is doing it,StativeNoImp,perfective,utvnelv'i,atvnehv'i; katvnehv'i,atvneh,[H_alt=none],stative,a_stem,a_present,True,False,False,atvneha,katvneha,atvneho'i,utvnelv'i,hatvka,utvnhti
113,117,he/she is breaking it (refers to a flexible object),Eventful,imperative,hika'la,hikala,kal,[H_alt=drop],sk-s-a,cons_stem,a_present,True,False,False,akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti
113,117,he/she is breaking it (refers to a flexible object),Eventful,imperative,hika'la,hikala,kal,[H_alt=drop],sk-s-a,cons_stem,a_present,True,False,True,akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti
113,117,he/she is breaking it (refers to a flexible object),Eventful,imperative,hika'la,hikal,kal,[H_alt=drop],sk-s-hst,cons_stem,a_present,True,False,False,akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti
113,117,he/she is breaking it (refers to a flexible object),Eventful,imperative,hika'la,hikal,kal,[H_alt=drop],sk-s-hst,cons_stem,a_present,True,False,True,akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti
113,117,he/she is breaking it (refers to a flexible object),Eventful,imperative,hika'la,hikalla,kal,[H_alt=drop],sk-s-la,cons_stem,a_present,True,False,True,akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti
113,117,he/she is breaking it (refers to a flexible object),Eventful,imperative,hika'la,hikalla,kal,[H_alt=drop],sk-s-la,cons_stem,a_present,True,False,False,akalhska,tsikalhska,akalhsko'i,ukalhsv'i,hika'la,ukalhsti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akahs,[H_alt=none],stative-k,a_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akahs,[H_alt=none],stative-k,a_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akahsk,[H_alt=none],stative,a_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akahsk,[H_alt=none],stative,a_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akas,[H_alt=none],stative-k,a_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akas,[H_alt=none],stative-k,a_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akask,[H_alt=none],stative,a_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i; kakahskv'i,akask,[H_alt=none],stative,a_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kahs,[H_alt=none],stative-k,cons_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kahs,[H_alt=none],stative-k,cons_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kahsk,[H_alt=none],stative,cons_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kahsk,[H_alt=none],stative,cons_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kas,[H_alt=none],stative-k,cons_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kas,[H_alt=none],stative-k,cons_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kask,[H_alt=none],stative,cons_stem,a_present,True,False,False,akahska,,akahsko'i,ukanhanv'i,,ukanhti
119,123,it’s raining,StativeFutProg,perfective,ukanhanv'i,akahskv'i,kask,[H_alt=none],stative,cons_stem,a_present,True,False,True,akahska,,akahsko'i,ukanhanv'i,,ukanhti
161,167,he/she is killing him/her,StativeNoImp,perfective,ulhv'i,ahihv'i,hi,[H_alt=glot],stative-h,cons_stem,a_present,True,False,True,ahiha,tsi'iha,ahiho'i,ulhv'i,hiluka,uhihsti
161,167,he/she is killing him/her,StativeNoImp,perfective,ulhv'i,ahihv'i,hi,[H_alt=glot],stative-h,cons_stem,a_present,True,False,False,ahiha,tsi'iha,ahiho'i,ulhv'i,hiluka,uhihsti
161,167,he/she is killing him/her,StativeNoImp,perfective,ulhv'i,ahihv'i,hih,[H_alt=glot],stative,cons_stem,a_present,True,False,False,ahiha,tsi'iha,ahiho'i,ulhv'i,hiluka,uhihsti
161,167,he/she is killing him/her,StativeNoImp,perfective,ulhv'i,ahihv'i,hih,[H_alt=glot],stative,cons_stem,a_present,True,False,True,ahiha,tsi'iha,ahiho'i,ulhv'i,hiluka,uhihsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsiyahhi'leha,ahhi'l,[H_alt=none],stative-eh,a_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,kahhi'leha,ahhi'l,[H_alt=none],stative-eh,a_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsiyahhi'leha,ahhi'le,[H_alt=none],stative-h,a_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,kahhi'leha,ahhi'le,[H_alt=none],stative-h,a_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsiyahhi'leha,ahhi'leh,[H_alt=none],stative,a_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,kahhi'leha,ahhi'leh,[H_alt=none],stative,a_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsiyahi'leha,ahi'l,[H_alt=none],stative-eh,a_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,kahi'leha,ahi'l,[H_alt=none],stative-eh,a_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,kahi'leha,ahi'le,[H_alt=none],stative-h,a_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsiyahi'leha,ahi'le,[H_alt=none],stative-h,a_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,kahi'leha,ahi'leh,[H_alt=none],stative,a_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsiyahi'leha,ahi'leh,[H_alt=none],stative,a_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsihi'leha,hi'l,[H_alt=none],stative-eh,cons_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsihi'leha,hi'l,[H_alt=none],stative-eh,cons_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsihi'leha,hi'le,[H_alt=none],stative-h,cons_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsihi'leha,hi'le,[H_alt=none],stative-h,cons_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsihi'leha,hi'leh,[H_alt=none],stative,cons_stem,a_present,True,False,True,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
162,168,he/she has possession of a vehicle,StativeFutProg,present_1sg,tsi'ileha,tsihi'leha,hi'leh,[H_alt=none],stative,cons_stem,a_present,True,False,False,ahi'leha,tsi'ileha,ahi'leho'i,,,uhi'lvhsti
186,192,he/she is changing his/her shirt,Eventful,present_1sg,kaniwa'iyv'a,tsiyanhawa'iyv'a,anhawa'iy,[H_alt=none],v-vhs,a_stem,a_present,True,False,True,anhawa'iyv'a,kaniwa'iyv'a,anhawa'iyvhsko'i,unhawa'iyvhsv'i,hanhawa'iyvna,unhawa'iyvhsti
186,192,he/she is changing his/her shirt,Eventful,present_1sg,kaniwa'iyv'a,kanhawa'iyv'a,anhawa'iy,[H_alt=none],v-vhs,a_stem,a_present,True,False,False,anhawa'iyv'a,kaniwa'iyv'a,anhawa'iyvhsko'i,unhawa'iyvhsv'i,hanhawa'iyvna,unhawa'iyvhsti
187,193,he/she is taking his/her shirt off,Eventful,present_1sg,kaniwe'a,kanhawe'a,anhaw,[H_alt=none],rev-e,a_stem,a_present,True,False,False,anhawe'a,kaniwe'a,anhawehsko'i,unhawehsv'i,hanhawaki,unhawehsti
187,193,he/she is taking his/her shirt off,Eventful,present_1sg,kaniwe'a,tsiyanhawe'a,anhaw,[H_alt=none],rev-e,a_stem,a_present,True,False,True,anhawe'a,kaniwe'a,anhawehsko'i,unhawehsv'i,hanhawaki,unhawehsti
189,195,he/she is putting on a shirt,Eventful,present_1sg,kaniwo'a,tsiyanhawo'a,anhaw,[H_alt=none],o,a_stem,a_present,True,False,True,anhawo'a,kaniwo'a,anhawohsko'i,unhawo'v'i,hanhawotsa,unhawohsti
189,195,he/she is putting on a shirt,Eventful,present_1sg,kaniwo'a,kanhawo'a,anhaw,[H_alt=none],o,a_stem,a_present,True,False,False,anhawo'a,kaniwo'a,anhawohsko'i,unhawo'v'i,hanhawotsa,unhawohsti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhethsohs,[H_alt=drop],stative-k,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhethsohsk,[H_alt=drop],stative,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhethsos,[H_alt=drop],stative-k,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhethsosk,[H_alt=drop],stative,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhetsohs,[H_alt=drop],stative-k,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhetsohsk,[H_alt=drop],stative,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhetsos,[H_alt=drop],stative-k,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
194,200,he/she is frolicking,StativeNoImp,perfective,unhetsonv'i,anhetsohskv'i; kanhetsohskv'i,anhetsosk,[H_alt=drop],stative,a_stem,a_present,True,False,False,anhetsohska,kanetsohska,anhetsohsko'i,unhetsonv'i,hanhetso'vka,unhetsoti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvhs,[H_alt=glot],stative-k,cons_stem,a_present,True,False,False,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvhs,[H_alt=glot],stative-k,cons_stem,a_present,True,False,True,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvhsk,[H_alt=glot],stative,cons_stem,a_present,True,False,False,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvhsk,[H_alt=glot],stative,cons_stem,a_present,True,False,True,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvs,[H_alt=glot],stative-k,cons_stem,a_present,True,False,True,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvs,[H_alt=glot],stative-k,cons_stem,a_present,True,False,False,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvsk,[H_alt=glot],stative,cons_stem,a_present,True,False,True,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
206,212,he/she is setting it down,StativeNoImp,perfective,unhv'i,ahvhskv'i,hvsk,[H_alt=glot],stative,cons_stem,a_present,True,False,False,ahvhska,tsi'vhska,ahvhsko'i,unhv'i,hihvka,uhti
209,215,he/she is taking it somewhere,Eventful,infinitive,uwithti,uwhithti,whit,[H_alt=drop],ih-vh,cons_stem,a_present,True,False,False,awhitiha,tsiwitiha,awhitihsko'i,uwhitvhv'i,hiwhita,uwithti
209,215,he/she is taking it somewhere,Eventful,infinitive,uwithti,uwhithti,whit,[H_alt=drop],ih-vh,cons_stem,a_present,True,False,True,awhitiha,tsiwitiha,awhitihsko'i,uwhitvhv'i,hiwhita,uwithti
212,218,he/she is peeling it,Eventful,imperative,hiyhahkhetsa,hiyhahkheta,yhahkhet,[H_alt=drop],sk-s-a,cons_stem,a_present,True,False,False,ayhahkhetska,tsiyahkhetska,ayhahkhetsko'i,uyhahkhetsv'i,hiyhahkhetsa,uyhahkhetsti
212,218,he/she is peeling it,Eventful,imperative,hiyhahkhetsa,hiyahkheta; hiyhahkheta,yhahkhet,[H_alt=drop],sk-s-a,cons_stem,a_present,True,False,True,ayhahkhetska,tsiyahkhetska,ayhahkhetsko'i,uyhahkhetsv'i,hiyhahkhetsa,uyhahkhetsti
212,218,he/she is peeling it,Eventful,imperative,hiyhahkhetsa,hiyahkhet; hiyhahkhet,yhahkhet,[H_alt=drop],sk-s-hst,cons_stem,a_present,True,False,True,ayhahkhetska,tsiyahkhetska,ayhahkhetsko'i,uyhahkhetsv'i,hiyhahkhetsa,uyhahkhetsti
212,218,he/she is peeling it,Eventful,imperative,hiyhahkhetsa,hiyhahkhet,yhahkhet,[H_alt=drop],sk-s-hst,cons_stem,a_present,True,False,False,ayhahkhetska,tsiyahkhetska,ayhahkhetsko'i,uyhahkhetsv'i,hiyhahkhetsa,uyhahkhetsti
212,218,he/she is peeling it,Eventful,imperative,hiyhahkhetsa,hiyahkhetla; hiyhahkhetla,yhahkhet,[H_alt=drop],sk-s-la,cons_stem,a_present,True,False,True,ayhahkhetska,tsiyahkhetska,ayhahkhetsko'i,uyhahkhetsv'i,hiyhahkhetsa,uyhahkhetsti
212,218,he/she is peeling it,Eventful,imperative,hiyhahkhetsa,hiyhahkhetla,yhahkhet,[H_alt=drop],sk-s-la,cons_stem,a_present,True,False,False,ayhahkhetska,tsiyahkhetska,ayhahkhetsko'i,uyhahkhetsv'i,hiyhahkhetsa,uyhahkhetsti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uayhahthhti; uyhahthhti,ayhahth,[H_alt=none],episodic,a_stem,a_present,True,False,True,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uayhahthhti; uyhahthhti,ayhahth,[H_alt=none],episodic,a_stem,a_present,True,False,False,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uayhahthvhti; uyhahthvhti,ayhahthv,[H_alt=none],hvsk-nh,a_stem,a_present,True,False,False,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uayhahthvhti; uyhahthvhti,ayhahthv,[H_alt=none],hvsk-nh,a_stem,a_present,True,False,True,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uayhahthvhvhsti; uyhahthvhvhsti,ayhahthv,[H_alt=none],terminative-no-o,a_stem,a_present,True,False,False,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uayhahthvhvhsti; uyhahthvhvhsti,ayhahthv,[H_alt=none],terminative-no-o,a_stem,a_present,True,False,True,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uyhahthhti,yhahth,[H_alt=none],episodic,cons_stem,a_present,True,False,False,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uyhahthhti,yhahth,[H_alt=none],episodic,cons_stem,a_present,True,False,True,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uyhahthvhti,yhahthv,[H_alt=none],hvsk-nh,cons_stem,a_present,True,False,True,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uyhahthvhti,yhahthv,[H_alt=none],hvsk-nh,cons_stem,a_present,True,False,False,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uyhahthvhvhsti,yhahthv,[H_alt=none],terminative-no-o,cons_stem,a_present,True,False,True,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
214,220,it’s becoming frosty (refers to the ground),Eventful,infinitive,uyhahthvthti,uyhahthvhvhsti,yhahthv,[H_alt=none],terminative-no-o,cons_stem,a_present,True,False,False,ayhahthvhvhska,,ayhahthvhvhsko'i,uyhahthvnhv'i,,uyhahthvthti
230,236,he/she is kicking him/her,Eventful,imperative,hiyayhthaki,hayhvhthaki; hiyayvhthaki,ayhvhth,[H_alt=drop],rev-e,a_stem,a_present,True,False,True,ayhvhthe'a,tsiyayvhthe'a,ayhvhthehsko'i,uyhvhthehsv'i,hiyayhthaki,uyhvhthehsti
240,246,he/she is getting in (in a car‚ box‚ etc),Eventful,infinitive,utsoti,uatsati; utsati,athsa,[H_alt=none],vsk-post-v,a_stem,a_present,True,False,False,atsa'vhska,katsa'vhska,atsa'vhsko'i,utsanv'i,hatsa'vka,utsoti
240,246,he/she is getting in (in a car‚ box‚ etc),Eventful,infinitive,utsoti,uatsati; utsati,atsa,[H_alt=none],vsk-post-v,a_stem,a_present,True,False,False,atsa'vhska,katsa'vhska,atsa'vhsko'i,utsanv'i,hatsa'vka,utsoti
244,250,he/she is spilling it (refers to a liquid or non-liquid like salt‚ sugar),Eventful,infinitive,utsewahsti,uatsewihsti; utsewihsti,athsew,[H_alt=none],i-a-i,a_stem,a_present,True,False,False,atsewi'a,katsewi'a,atsewihsko'i,utsewv'i,hatsewa,utsewahsti
